ID	K1
142_CC_UNK_RUS_M	0.000562
260_CC_SRT_RUS_F	0.004799
270_CC_TBW_RUS_F	1e-05
291_CC_UNK_RUS_F	1e-05
292_CC_UNK_RUS_M	1e-05
293_CC_UNK_RUS_M	1e-05
294_CC_UNK_RUS_F	1e-05
296_CC_UNK_RUS_M	0.024118
375_CC_PLW_RUS_F	1e-05
408_CC_TBW_RUS_F	1e-05
116_CC_UNK_ENG_M	0.99999
119_CC_UNK_ENG_F	0.99999
123_CC_UNK_ENG_M	0.99999
124_CC_UNK_ENG_M	0.99999
126_CC_UNK_ENG_M	0.99999
127_CC_UNK_ENG_M	0.99999
129_CC_UNK_ENG_M	0.990044
130_CC_UNK_ENG_M	0.99999
134_CC_UNK_ENG_M	0.99999
136_CC_UNK_ENG_M	0.99999
001_CB_ORW_CHN_F	1e-05
002_CB_ORW_CHN_M	1e-05
003_CB_ATP_CHN_M	0.052148
005_CB_ORW_CHN_M	1e-05
006_CB_ATP_CHN_F	0.052014
007_CB_ATP_CHN_F	0.052552
008_CC_RED_FIN_M	0.886455
009_CC_RED_FIN_M	0.897011
010_CC_RED_FIN_F	0.875777
013_CC_GRW_HUN_F	0.968434
014_CC_GRW_HUN_F	0.969367
015_CC_GRW_HUN_F	0.979772
016_CC_GRW_HUN_F	0.977669
017_CC_GRW_HUN_F	0.986974
018_CC_GRW_HUN_M	0.972654
019_CC_GRW_HUN_F	0.973869
020_CC_GRW_HUN_F	0.969038
021_CC_RED_FIN_F	0.892491
022_CC_RED_FIN_F	0.896302
023_CC_RED_FIN_F	0.887362
024_CC_RED_FIN_M	0.887621
025_CC_RED_FIN_F	0.900994
027_CC_BRA_FIN_M	0.854422
028_CC_BRA_FIN_F	0.868825
029_CC_BRA_FIN_F	0.856304
030_CC_MPT_NOR_F	0.91978
031_CC_MPT_SWE_F	0.891769
032_CC_MPT_NOR_M	0.91444
033_CC_MPT_NOR_M	0.911293
034_CC_MPT_NOR_F	0.906363
035_CC_MPT_NOR_F	0.916373
036_CC_MPT_NOR_F	0.931964
037_CC_ERW_DNK_M	0.966932
038_CC_ERW_DNK_F	0.965632
039_CC_ERW_DNK_F	0.96274
042_CC_GRW_HUN_F	0.959958
043_CC_RED_FIN_F	0.902277
053_CC_RED_FIN_F	0.886231
054_CC_RED_FIN_F	0.891094
056_CC_COR_BGR_F	0.957498
057_CC_COR_BGR_F	0.956164
058_CC_COR_BGR_F	0.963474
059_CC_COR_BGR_M	0.955737
061_CC_GRW_BGR_F	0.932666
062_CC_GRW_BGR_F	0.974848
063_CC_GRW_BGR_F	0.951671
064_CC_GRW_BGR_M	0.968728
065_CC_GRW_BGR_M	0.951387
066_CC_GRW_BGR_F	0.970412
067_CC_GRW_BGR_M	0.955353
069_CC_GRW_BGR_F	0.966334
070_CC_GRW_BGR_F	0.936864
071_CC_GRW_BGR_F	0.985816
074_CC_MSH_BGR_F	0.958417
078_CC_MSH_BGR_M	0.949369
080_CC_MSH_BGR_M	0.982124
081_CC_ERW_CZE_F	0.985156
082_CC_ERW_CZE_F	0.974814
083_CC_ERW_DEU_M	0.970581
085_CC_RED_FIN_M	0.893177
089_CC_RED_FIN_F	0.887974
098_CC_ERW_POL_M	0.952466
100_CC_ERW_POL_F	0.95432
102_CC_ERW_SPA_F	0.998428
104_CB_ORW_CHN_M	1e-05
105_CB_ORW_CHN_F	1e-05
108_CB_ORW_CHN_F	1e-05
113_CC_UNK_ENG_F	0.99999
114_CC_UNK_ENG_M	0.99999
115_CC_UNK_ENG_M	0.99999
118_CC_UNK_ENG_M	0.99999
120_CC_UNK_ENG_F	0.99999
125_CC_UNK_ENG_M	0.99999
131_CC_UNK_ENG_M	0.99999
132_CC_UNK_ENG_M	0.99999
133_CC_UNK_ENG_M	0.99999
135_CC_UNK_ENG_M	0.99999
138_CC_UNK_BLR_M	0.898162
140_CC_UNK_BLR_M	0.877475
141_CC_UNK_RUS_M	0.513951
143_CC_UNK_RUS_M	1e-05
144_CC_GRW_BGR_M	0.968158
