****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 7 threads.
Cross-validation will be performed.  Folds=5.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 64x1560164
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 8.352	Loglikelihood: -8.41276e+07	(delta): 6.90485e+07
2 (EM) 	Elapsed: 8.85	Loglikelihood: -8.0748e+07	(delta): 3.37964e+06
3 (EM) 	Elapsed: 8.958	Loglikelihood: -7.98082e+07	(delta): 939776
4 (EM) 	Elapsed: 8.847	Loglikelihood: -7.92972e+07	(delta): 510973
5 (EM) 	Elapsed: 9.772	Loglikelihood: -7.89701e+07	(delta): 327149
Initial loglikelihood: -7.89701e+07
Starting main algorithm
1 (QN/Block) 	Elapsed: 20.279	Loglikelihood: -7.81452e+07	(delta): 824855
2 (QN/Block) 	Elapsed: 20.125	Loglikelihood: -7.80485e+07	(delta): 96723.4
3 (QN/Block) 	Elapsed: 21.712	Loglikelihood: -7.78056e+07	(delta): 242922
4 (QN/Block) 	Elapsed: 21.954	Loglikelihood: -7.75566e+07	(delta): 249016
5 (QN/Block) 	Elapsed: 21.916	Loglikelihood: -7.74527e+07	(delta): 103817
6 (QN/Block) 	Elapsed: 21.124	Loglikelihood: -7.73945e+07	(delta): 58273.9
7 (QN/Block) 	Elapsed: 21.626	Loglikelihood: -7.73678e+07	(delta): 26702.6
8 (QN/Block) 	Elapsed: 21.686	Loglikelihood: -7.73518e+07	(delta): 15918.3
9 (QN/Block) 	Elapsed: 21.655	Loglikelihood: -7.73381e+07	(delta): 13711.5
10 (QN/Block) 	Elapsed: 21.895	Loglikelihood: -7.73306e+07	(delta): 7544.31
11 (QN/Block) 	Elapsed: 21.2	Loglikelihood: -7.73243e+07	(delta): 6315.03
12 (QN/Block) 	Elapsed: 21.503	Loglikelihood: -7.73166e+07	(delta): 7714.47
13 (QN/Block) 	Elapsed: 21.527	Loglikelihood: -7.73096e+07	(delta): 6972.13
14 (QN/Block) 	Elapsed: 21.188	Loglikelihood: -7.73025e+07	(delta): 7132.1
15 (QN/Block) 	Elapsed: 21.202	Loglikelihood: -7.72964e+07	(delta): 6060.76
16 (QN/Block) 	Elapsed: 21.228	Loglikelihood: -7.72915e+07	(delta): 4908.2
17 (QN/Block) 	Elapsed: 21.34	Loglikelihood: -7.72874e+07	(delta): 4113.9
18 (QN/Block) 	Elapsed: 21.117	Loglikelihood: -7.72854e+07	(delta): 1937.68
19 (QN/Block) 	Elapsed: 21.165	Loglikelihood: -7.72843e+07	(delta): 1125.58
20 (QN/Block) 	Elapsed: 21.146	Loglikelihood: -7.72836e+07	(delta): 742.684
21 (QN/Block) 	Elapsed: 21.141	Loglikelihood: -7.72832e+07	(delta): 402.502
22 (QN/Block) 	Elapsed: 22.241	Loglikelihood: -7.7283e+07	(delta): 211.598
23 (QN/Block) 	Elapsed: 22.288	Loglikelihood: -7.72825e+07	(delta): 427.699
24 (QN/Block) 	Elapsed: 22.089	Loglikelihood: -7.72823e+07	(delta): 179.225
25 (QN/Block) 	Elapsed: 21.219	Loglikelihood: -7.7282e+07	(delta): 388.108
26 (QN/Block) 	Elapsed: 21.219	Loglikelihood: -7.72818e+07	(delta): 131.741
27 (QN/Block) 	Elapsed: 21.387	Loglikelihood: -7.72818e+07	(delta): 55.2037
28 (QN/Block) 	Elapsed: 21.136	Loglikelihood: -7.72825e+07	(delta): -734.712
29 (QN/Block) 	Elapsed: 21.165	Loglikelihood: -7.72822e+07	(delta): 269.578
30 (QN/Block) 	Elapsed: 21.143	Loglikelihood: -7.72805e+07	(delta): 1690.11
31 (QN/Block) 	Elapsed: 21.429	Loglikelihood: -7.72799e+07	(delta): 633.941
32 (QN/Block) 	Elapsed: 21.707	Loglikelihood: -7.72797e+07	(delta): 239.143
33 (QN/Block) 	Elapsed: 22.038	Loglikelihood: -7.72796e+07	(delta): 66.6085
34 (QN/Block) 	Elapsed: 22.122	Loglikelihood: -7.72796e+07	(delta): 16.0191
35 (QN/Block) 	Elapsed: 22.052	Loglikelihood: -7.72796e+07	(delta): 17.5558
36 (QN/Block) 	Elapsed: 21.922	Loglikelihood: -7.72796e+07	(delta): 20.9438
37 (QN/Block) 	Elapsed: 22.07	Loglikelihood: -7.72795e+07	(delta): 26.3709
38 (QN/Block) 	Elapsed: 22.091	Loglikelihood: -7.72795e+07	(delta): 34.7692
39 (QN/Block) 	Elapsed: 22.072	Loglikelihood: -7.72794e+07	(delta): 48.1161
