ID	Analysis_All	Analysis_Unrelated	Analysis_ADMIXTURE	Analysis_Demography	Latitude	Longitude	IDNum	Migration	Gens	Species	Species_Latin	Shape	SpeciesShort	Sex	Plumage	MeanCoverage	MedianCoverage	Coverage_mtDNA	Coverage_Ratio_mtDNAAutosomes	Raw_Reads_M	Mapped_Reads_M	Percent_Reads_Mapped	Raw_Bases_Gb	Mapped_Bases_Gb	Bases_Mapped_Percent	Age	Source	Sampling_Year	Sampling_Month	Country	Hap	HapCol	Cluster
003_CB_ATP_CHN_M	1	1	1	0	28.1	107.0333	003	NA	Su. alphonsiana	Common cuckoo	C. c. bakeri	22	CC	M	Missing	14.88	14	24.57	1.663507109	179.807748	176.1055	0.979409964	18.16058255	17.77600397	0.978823445	Young	Blood	2008	7	CHN	W2	#1F78B4	CC_2
006_CB_ATP_CHN_F	1	1	1	0	28.1	107.0333	006	NA	Su. alphonsiana	Common cuckoo	C. c. bakeri	22	CC	F	Missing	13.83	13	318.25	23.11183733	167.014954	163.531556	0.979143197	16.86851035	16.50752765	0.978600203	Young	Feather	2008	7	CHN	W2	#1F78B4	CC_2
005_CB_ORW_CHN_M	1	1	1	0	31.509501	121.962126	005	NA	A. orientalis	Common cuckoo	C. c. bakeri	22	CC	M	Missing	18.84	18	79.92	4.260127932	226.990866	222.63021	0.980789289	22.92607747	22.47490409	0.980320516	Young	Blood	2012	6	CHN	W3	#B2DF8A	CC_3
104_CB_ORW_CHN_M	1	1	1	0	31.509501	121.962126	104	NA	NA	Common cuckoo	C. c. bakeri	22	CC	M	Missing	16.72	15	302.48	18.55705521	171.04783	169.631588	0.991720199	25.6571745	25.41249034	0.990463324	Young	Tissue	2012	7	CHN	W3	#B2DF8A	CC_3
105_CB_ORW_CHN_F	1	1	1	0	31.509501	121.962126	105	NA	NA	Common cuckoo	C. c. bakeri	22	CC	F	Missing	14.96	14	98.84	6.797799175	149.939108	148.673412	0.9915586	22.4908662	22.2711477	0.990230768	Young	Blood	2012	7	CHN	W3	#B2DF8A	CC_3
108_CB_ORW_CHN_F	1	1	1	0	31.509501	121.962126	108	NA	NA	Common cuckoo	C. c. bakeri	22	CC	F	Missing	16.58	15	28.58	1.800882168	171.420846	170.078722	0.992170591	25.7131269	25.48139914	0.990987959	Young	Blood	2012	7	CHN	W3	#B2DF8A	CC_3
102_CC_ERW_SPA_F	1	1	1	0	40.73333	0.78333	102	NA	A. scirpaceus	Common cuckoo	C. c. canorus	21	CC	F	Missing	16.71	14	198.12	12.60305344	177.268932	175.328636	0.989054506	26.5903398	26.23169794	0.986512325	Young	Blood	2004	6	SPA	W7	#FDBF6F	CC_8
286_CC_UNK_RUS_F	1	1	1	0	42.48333	130.7	286	NA	NA	Common cuckoo	C. c. canorus	21	CC	F	grey	12.52	11	10558.18	903.9537671	130.170872	128.89753	0.990217919	19.5256308	19.27983846	0.98741181	Adult	Tissue	2004	6	RUS	W6	#E31A1C	CC_14
371_CO_PLW_RUS_M	1	1	1	0	43.56667	131.5	371	NA	NA	Oriental cuckoo	C. optatus	24	CO	M	Missing	10.79	10	10680.45	1159.65798	112.651222	111.75061	0.992005306	16.8976833	16.64528124	0.985062919	Adult	Heart or Lung	2003	6	RUS	NA	NA	CO_9
372_CO_PLW_RUS_M	1	1	1	0	43.56667	131.5	372	NA	NA	Oriental cuckoo	C. optatus	24	CO	M	Missing	8.76	8	9960.41	1527.670245	101.855548	101.211026	0.993672195	15.2783322	14.73896758	0.964697415	Adult	Muscle	2003	6	RUS	NA	NA	CO_9
373_CO_PLW_RUS_M	1	1	1	0	43.56667	131.5	373	NA	NA	Oriental cuckoo	C. optatus	24	CO	M	Missing	11.03	10	23993.92	2483.84265	118.874704	117.85218	0.991398305	17.8312056	17.57101372	0.98540806	Adult	Heart or Lung	2003	6	RUS	NA	NA	CO_9
403_CO_PLW_RUS_F	1	1	1	0	43.56667	131.5	403	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	6.38	6	4597.5	829.8736462	59.716468	59.248804	0.992168592	8.9574702	8.869050625	0.990128957	Adult	Muscle	2018	6	RUS	NA	NA	CO_9
358_CO_PLW_RUS_F	1	1	1	0	43.58333	131.5	358	NA	NA	Oriental cuckoo	C. optatus	24	CO	F	Missing	12.62	10	642.21	53.96722689	134.584324	132.963568	0.98795732	20.1876486	19.86684498	0.984108916	Young	Growing Feather	2015	7	RUS	NA	NA	CO_9
058_CC_COR_BGR_F	1	1	1	0	43.71	23.86	058	NA	NA	Common cuckoo	C. c. canorus	21	CC	F	Missing	15.83	15	1641.26	106.5753247	160.173896	158.911852	0.992120789	24.0260844	23.80410982	0.990761101	Young	Tissue	2008	7	BGR	W7	#FDBF6F	CC_4
056_CC_COR_BGR_F	1	1	1	0	43.788364	23.45133	056	NA	NA	Common cuckoo	C. c. canorus	21	CC	F	Missing	14.26	11	1318.83	95.5673913	149.818658	148.214366	0.989291774	22.4727987	22.18406466	0.987151843	Young	Tissue	2007	5	BGR	W7	#FDBF6F	CC_4
057_CC_COR_BGR_F	1	1	1	0	43.788364	23.45133	057	NA	NA	Common cuckoo	C. c. canorus	21	CC	F	Missing	15.31	14	304.25	20.6832087	158.837456	157.51248	0.99165829	23.8256184	23.58920976	0.990077544	Young	Blood	2008	5	BGR	W5	#FB9A99	CC_4
059_CC_COR_BGR_M	1	1	1	0	43.788364	23.45133	059	NA	E. calandra	Common cuckoo	C. c. canorus	21	CC	M	Missing	17.63	13	799.16	47.39976275	190.112846	187.827314	0.987978024	28.5169269	28.13273071	0.986527434	Young	Tissue	2007	6	BGR	W7	#FDBF6F	CC_4
061_CC_GRW_BGR_F	1	1	1	0	43.788364	23.45133	061	NA	A. arundinaceus	Common cuckoo	C. c. canorus	21	CC	F	Missing	19.61	18	2168.45	113.8891807	215.126208	213.575118	0.99278986	32.2689312	31.99463623	0.991499719	Young	Tissue	2009	6	BGR	W7	#FDBF6F	CC_4
