time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.99709e-06	31.397499999999997	0.42518	9.042060000000001
1	6.99709e-06	1.73232e-05	31.397499999999997	0.42518	9.042060000000001
2	1.73232e-05	3.25622e-05	31.397499999999997	0.424975	9.042060000000001
3	3.25622e-05	5.50516e-05	180.369	7.61658	45.18737999999999
4	5.50516e-05	8.82407e-05	297.71100000000007	46.9908	96.49778999999998
5	8.82407e-05	0.00013722	470.6202000000001	109.529	145.2096
6	0.00013722	0.000209503	772.1551999999999	223.483	206.13239999999993
7	0.000209503	0.000316176	932.3872000000001	307.804	281.59619999999995
8	0.000316176	0.000473602	769.2816999999999	327.287	308.0474
9	0.000473602	0.000705926	557.8488000000001	334.071	301.6168
10	0.000705926	0.00104878	450.27840000000003	354.857	299.2782
11	0.00104878	0.00155476	391.94159999999994	381.732	306.7475
12	0.00155476	0.00230148	356.09400000000005	412.793	328.2099999999999
13	0.00230148	0.00340345	362.26439999999997	457.645	381.8867
14	0.00340345	0.00502972	454.7945000000001	542.393	492.1837999999999
15	0.00502972	0.00742972	636.8174000000001	650.701	652.0306
16	0.00742972	0.0109716	827.3360999999999	709.653	779.3734000000002
17	0.0109716	0.0161986	24688.806399999998	734.957	844.3207999999998
18	0.0161986	0.0239124	119733.00000000001	92903.0	44718.50249999999
19	0.0239124	inf	119733.0	92903.0	88581.9
