time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.34865e-05	87.322
1	1.34865e-05	3.24377e-05	87.322
2	3.24377e-05	5.90678e-05	230.318
3	5.90678e-05	9.64883e-05	266.02
4	9.64883e-05	0.000149071	474.562
5	0.000149071	0.000222961	827.179
6	0.000222961	0.000326789	907.24
7	0.000326789	0.000472689	714.146
8	0.000472689	0.000677706	546.09
9	0.000677706	0.000965795	450.895
10	0.000965795	0.00137062	396.531
11	0.00137062	0.00193947	362.673
12	0.00193947	0.00273881	349.824
13	0.00273881	0.00386205	379.77
14	0.00386205	0.00544042	486.15
15	0.00544042	0.00765833	640.347
16	0.00765833	0.0107749	767.593
17	0.0107749	0.0151543	881.294
18	0.0151543	0.0213083	716.572
19	0.0213083	inf	716.572
