time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.09262e-06	13.334600000000004	0.419383	0.38206899999999994
1	7.09262e-06	1.75597e-05	13.334600000000004	0.419383	0.38206899999999994
2	1.75597e-05	3.30068e-05	13.334600000000004	0.854982	0.38206899999999994
3	3.30068e-05	5.58031e-05	122.76300000000003	11.6052	28.6248345
4	5.58031e-05	8.94454e-05	204.85500000000002	22.7612	82.71722
5	8.94454e-05	0.000139094	358.9387999999999	96.8964	155.21659999999997
6	0.000139094	0.000212363	646.1538	192.84	217.8938
7	0.000212363	0.000320493	822.7108000000002	288.635	281.272
8	0.000320493	0.000480067	731.0439	324.524	311.0505
9	0.000480067	0.000715563	550.0240999999999	334.89	307.5534
10	0.000715563	0.0010631	445.8602000000001	350.549	304.016
11	0.0010631	0.00157599	385.8695	375.348	308.08900000000006
12	0.00157599	0.0023329	352.5670000000001	407.829	328.82939999999996
13	0.0023329	0.00344992	358.41679999999997	447.785	381.893
14	0.00344992	0.00509839	451.3464	534.27	492.2274999999999
15	0.00509839	0.00753116	629.2664	617.903	630.0832
16	0.00753116	0.0111214	740.14	682.522	696.8688999999999
17	0.0111214	0.0164197	23935.4808	762.058	755.0976
18	0.0164197	0.0242389	116221.00000000003	91638.4	44714.658500000005
19	0.0242389	inf	116221.0	91638.4	88629.1
