time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.03714e-06	0.422601
1	7.03714e-06	1.74224e-05	0.422601
2	1.74224e-05	3.27486e-05	1.95045
3	3.27486e-05	5.53667e-05	24.4535
4	5.53667e-05	8.87458e-05	39.2402
5	8.87458e-05	0.000138006	88.5191
6	0.000138006	0.000210702	210.066
7	0.000210702	0.000317986	314.53
8	0.000317986	0.000476312	335.107
9	0.000476312	0.000709966	338.921
10	0.000709966	0.00105479	353.264
11	0.00105479	0.00156366	375.469
12	0.00156366	0.00231465	407.692
13	0.00231465	0.00342293	446.415
14	0.00342293	0.00505851	522.831
15	0.00505851	0.00747225	632.791
16	0.00747225	0.0110344	729.536
17	0.0110344	0.0162913	835.815
18	0.0162913	0.0240493	92301.2
19	0.0240493	inf	92301.2
