time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.7719e-05	3.86025
1	1.7719e-05	4.26177e-05	3.86025
2	4.26177e-05	7.76051e-05	61.7145
3	7.76051e-05	0.000126769	157.624
4	0.000126769	0.000195854	217.573
5	0.000195854	0.000292932	289.543
6	0.000292932	0.000429346	322.841
7	0.000429346	0.000621033	314.208
8	0.000621033	0.000890391	303.954
9	0.000890391	0.00126889	301.147
10	0.00126889	0.00180076	309.551
11	0.00180076	0.00254813	334.873
12	0.00254813	0.00359834	393.628
13	0.00359834	0.00507408	503.17
14	0.00507408	0.00714779	624.515
15	0.00714779	0.0100617	709.023
16	0.0100617	0.0141564	768.818
17	0.0141564	0.0199102	832.837
18	0.0199102	0.0279955	88364.8
19	0.0279955	inf	88364.8
