time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.76246e-05	4.19792
1	1.76246e-05	4.23907e-05	4.19792
2	4.23907e-05	7.71918e-05	58.4587
3	7.71918e-05	0.000126094	144.286
4	0.000126094	0.000194811	217.315
5	0.000194811	0.000291372	283.572
6	0.000291372	0.000427059	315.763
7	0.000427059	0.000617725	312.122
8	0.000617725	0.000885648	303.733
9	0.000885648	0.00126213	304.215
10	0.00126213	0.00179117	312.66
11	0.00179117	0.00253456	335.108
12	0.00253456	0.00357917	388.729
13	0.00357917	0.00504705	498.355
14	0.00504705	0.00710971	630.468
15	0.00710971	0.0100082	698.447
16	0.0100082	0.014081	750.97
17	0.014081	0.0198042	805.457
18	0.0198042	0.0278463	88876.8
19	0.0278463	inf	88876.8
