time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.33927e-05	48.0737
1	1.33927e-05	3.22121e-05	48.0737
2	3.22121e-05	5.86569e-05	164.73
3	5.86569e-05	9.58171e-05	233.494
4	9.58171e-05	0.000148034	453.851
5	0.000148034	0.00022141	760.169
6	0.00022141	0.000324516	894.931
7	0.000324516	0.000469401	731.672
8	0.000469401	0.000672992	553.225
9	0.000672992	0.000959076	446.8
10	0.000959076	0.00136108	388.562
11	0.00136108	0.00192598	359.881
12	0.00192598	0.00271976	351.386
13	0.00271976	0.00383518	378.846
14	0.00383518	0.00540257	496.22
15	0.00540257	0.00760505	653.403
16	0.00760505	0.0107	738.661
17	0.0107	0.0150489	871.298
18	0.0150489	0.02116	117411
19	0.02116	inf	117411
