time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.99295e-06	0.425315
1	6.99295e-06	1.7313e-05	0.425315
2	1.7313e-05	3.25429e-05	0.425233
3	3.25429e-05	5.50189e-05	13.5441
4	5.50189e-05	8.81884e-05	36.3715
5	8.81884e-05	0.000137139	95.9725
6	0.000137139	0.000209379	217.329
7	0.000209379	0.000315989	314.417
8	0.000315989	0.000473321	339.881
9	0.000473321	0.000705507	339.952
10	0.000705507	0.00104816	353.979
11	0.00104816	0.00155384	378.825
12	0.00155384	0.00230011	411.521
13	0.00230011	0.00340144	453.669
14	0.00340144	0.00502674	522.903
15	0.00502674	0.00742532	608.138
16	0.00742532	0.0109651	661.588
17	0.0109651	0.016189	739.746
18	0.016189	0.0238982	92993.8
19	0.0238982	inf	92993.8
