time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.97364e-06	45.83559999999999	0.426411	17.9168
1	6.97364e-06	1.72652e-05	45.83559999999999	0.426411	17.9168
2	1.72652e-05	3.24531e-05	45.83559999999999	0.426404	17.9168
3	3.24531e-05	5.4867e-05	108.317	2.11917	32.92275
4	5.4867e-05	8.7945e-05	202.94899999999996	37.4908	71.83399
5	8.7945e-05	0.00013676	418.90139999999997	101.424	149.1398
6	0.00013676	0.000208801	726.5949999999999	239.334	245.84279999999998
7	0.000208801	0.000315117	866.2592000000002	333.988	293.8984
8	0.000315117	0.000472014	744.0756000000001	351.803	315.53950000000003
9	0.000472014	0.00070356	543.0017000000001	347.135	311.185
10	0.00070356	0.00104527	439.6818	357.937	307.7202
11	0.00104527	0.00154955	383.1127	380.47	314.77200000000005
12	0.00154955	0.00229376	356.62119999999993	411.643	336.2370000000001
13	0.00229376	0.00339204	366.11049999999994	456.176	394.39540000000005
14	0.00339204	0.00501286	461.9147	530.557	503.67679999999996
15	0.00501286	0.00740482	629.9566	631.66	635.7126
16	0.00740482	0.0109348	770.6043000000002	708.395	706.3174
17	0.0109348	0.0161443	12502.1005	828.722	707.6970000000001
18	0.0161443	0.0238323	116736.99999999999	93167.0	614.1705000000001
19	0.0238323	inf	116737.0	93167.0	537.495
