time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.63698e-05	17.0643
1	1.63698e-05	3.93726e-05	17.0643
2	3.93726e-05	7.1696e-05	85.8056
3	7.1696e-05	0.000117117	114.838
4	0.000117117	0.000180941	217.468
5	0.000180941	0.000270628	414.727
6	0.000270628	0.000396654	467.35
7	0.000396654	0.000573746	429.04
8	0.000573746	0.000822594	380.655
9	0.000822594	0.00117227	346.106
10	0.00117227	0.00166364	329.105
11	0.00166364	0.00235411	330.784
12	0.00235411	0.00332435	360.194
13	0.00332435	0.00468772	442.929
14	0.00468772	0.00660353	574.117
15	0.00660353	0.00929561	679.317
16	0.00929561	0.0130785	740.821
17	0.0130785	0.0183942	827.476
18	0.0183942	0.0258638	95818.1
19	0.0258638	inf	95818.1
