The split time is estimated to be around [0.0, 0.0, 0.0] gens (i.e. 0.25,0.5,0.75 quantile)
Initial Chi-Square distance is 1.0516180340586204e+284 and final Chi-Square distance is 0.00010535325115903066
left_boundaries	IM_lambda00	IM_lambda01	IM_lambda11	IM_rCCR	MSMC_lambda00	MSMC_lambda01	MSMC_lambda11	MSMC_rCCR	msmc_N1	msmc_N2	naive_im_N1	naive_im_N2	im_N1	im_N2
0.0	6.632600557499651e-08	0.0	6.739858786751209e-08	0.0	2.6136174e-07	4.7548376e-09	2.903113699999999e-07	0.0172378805992556	1913057.3587396531	1722288.7274446061	7538521.2129899375	7418553.0560798785	15029120.881186785	14789947.191658976
625.3851485148516	3.342964200073525e-08	3.3429098469182706e-08	3.343647828147226e-08	0.9998815043581314	2.6136174e-07	4.7548376e-09	2.903113699999999e-07	0.0172378805992556	1913057.3587396531	1722288.7274446061	7538521.2129899375	7418553.0560798785	15077014.972308801	14837079.09538688
1548.3168316831682	1.640156493796843e-08	1.6402276990066735e-08	1.640157389464218e-08	1.0000431406131614	2.6136174e-07	4.7551103e-09	2.903113699999999e-07	0.01723886922819204	1913057.3587396531	1722288.7274446061	1.0765747473678475	1.0765622506306345	2.1531455742574415	2.153120580828524
2910.346534653466	3.83115545485932e-07	3.8313217753866814e-07	3.8311575491948297e-07	1.0000431392869278	5.52062465e-07	1.6818116e-07	1.1321447539999999e-06	0.19971551968511067	905694.6119312785	441639.6386004895	1.0490741946824538	1.0490703380212176	2.0981445749187952	2.0981368616103455
4920.396039603961	7.957188451103307e-07	7.957534134110226e-07	7.957192800533505e-07	1.0000431695441234	8.961600719999999e-07	4.819619e-07	1.6482694999999996e-06	0.3788368955491766	557936.0380162084	303348.4512089802	1.046567070953534	1.0465622628792395	2.0931303545610542	2.093120738429865
7886.762376237624	1.1459282140665291e-06	1.1459781132666587e-06	1.1459288419325803e-06	1.0000432708200315	1.1967591e-06	1.1270084999999999e-06	3.0033137799999997e-06	0.5366614019326255	417795.02658471535	166482.77090780705	1.0437459833102842	1.0393333616462823	2.087491966490774	2.0786667231633187
12264.455445544556	3.806535473163069e-08	3.80670208003198e-08	3.806537569373367e-08	1.0000434932813167	2.1710687299999997e-06	2.9930441e-06	5.951491660000001e-06	0.736970599488519	230301.32261174434	84012.55156929849	1.0502197463818248	1.0501896722050479	2.1004394927137326	2.10037934436018
18724.950495049507	1.3734369346201813e-08	1.3734970572016492e-08	1.3734376911173926e-08	1.0000434998614807	3.978801070000001e-06	5.4382743e-06	8.328631700000001e-06	0.8837382095242595	125665.99616401529	60033.87086980925	1.0373646883765335	1.03736756406835	2.074729376735392	2.0747351281190243
28259.207920792083	4.600959884853962e-09	4.601161321671542e-09	4.600962419384145e-09	1.0000435060296902	4.68994712e-06	5.8460416e-06	7.75662325e-06	0.9393819222829012	106611.01014716772	64461.03979589314	1.092099222819683	1.0920991133722964	2.1841984456324885	2.184198226737715
42329.50495049505	1.4173734758779067e-09	1.4174355334745519e-09	1.417374256145085e-09	1.0000435082546213	4.265615819999999e-06	5.040829199999999e-06	5.96860409e-06	0.9850930006056514	117216.36947604909	83771.68136142868	1.0483970664845097	1.0483978274104355	2.096794132965914	2.0967956548177655
63094.15841584159	3.0334891799168554e-10	3.0336220027321714e-10	3.033490851139798e-10	1.0000435100175604	3.782963079999999e-06	4.3605235e-06	4.657168579999999e-06	1.0332832888533403	132171.52518443298	107361.37019974487	1.0472907656470674	1.0472905919171684	2.0945815312918135	2.0945811838320156
93738.0198019802	4.3124786579685834e-27	4.312667483300011e-27	4.312481033852272e-27	1.0000435103226653	3.4471148500000003e-06	4.0229411e-06	3.97060997e-06	1.0846832951131233	145048.83700060064	125925.23662050845	1.028811071774033	1.028810971595442	2.0576221435457853	2.0576219431886034
138961.38613861386	4.312478650888438e-27	4.312667482434261e-27	4.312481026781923e-27	1.0000435117626267	3.3571935399999997e-06	3.9799151e-06	3.63291142e-06	1.1387282802689132	148933.92175418045	137630.66097548837	1.076302072673357	1.076302070073367	2.152604145344328	2.152604140144348
205700.9900990099	4.312478656834755e-27	4.312667483739803e-27	4.312481032688294e-27	1.0000435106910717	3.556249389999999e-06	4.1421009e-06	3.626536299999999e-06	1.1533410792881393	140597.5636596173	137872.60312270973	1.047644355761281	1.0476442806512185	2.095288711520239	2.0952885613001144
304193.0693069307	4.312478652315224e-27	4.312667475937561e-27	4.312481028201219e-27	1.0000435099261422	4.392086e-06	4.7479493999999995e-06	4.306252160000001e-06	1.091691151266991	113841.12241882332	116110.24654905483	1.0501657662859314	1.0501657684639463	2.100331532569535	2.1003315369255646
449545.54455445544	2.955634646646396e-16	2.9557640633342807e-16	2.955636274713384e-16	1.000043510999953	5.86029573e-06	5.910408899999999e-06	5.8369313999999995e-06	1.010565809197893	85319.9263375741	85661.44875370646	1.0501657820052221	1.0501657684980346	2.1003315640104443	2.100331536996069
664052.4752475248	1.269341088422785e-34	1.2693966670167065e-34	1.2693417877505533e-34	1.0000435099086662	7.0534784199999995e-06	7.225832899999999e-06	7.5010154799999975e-06	0.9929349587346353	70887.01066728435	66657.64139977488	1.0465569370768926	1.0465569530985779	2.093113874153785	2.0931139061971558
980616.8316831684	4.0999094665523306e-62	4.100088983324466e-62	4.099911725336377e-62	1.0000435100658753	8.00765067e-06	9.0544985e-06	1.0452481919999997e-05	0.980978707044054	62440.28624690243	47835.52880807089	1.0453507647599007	1.045350570392667	2.0907015295198015	2.090701140785334
1447792.079207921	1.1340502169231254e-102	1.134099873298338e-102	1.1340508436658403e-102	1.0000435104102834	0.00039742669376	0.0010399667	0.0010552545044000001	1.4317893028659643	1258.093650604009	473.8193468165213	1.0501658011852368	1.0501658032804115	2.1003316023704737	2.100331606560823
