time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.2973e-06	10.810899999999998	0.472239	44.29740000000002
1	6.2973e-06	1.55907e-05	10.810899999999998	0.472239	44.29740000000002
2	1.55907e-05	2.93056e-05	10.810899999999998	0.472215	44.29740000000002
3	2.93056e-05	4.95458e-05	37.27290000000001	11.5632	165.51068
4	4.95458e-05	7.94156e-05	79.32831999999999	51.7251	249.27300000000002
5	7.94156e-05	0.000123497	151.87839999999997	143.159	393.11339999999996
6	0.000123497	0.000188551	259.233	329.343	671.9592
7	0.000188551	0.000284555	407.4841000000001	548.402	854.9852000000002
8	0.000284555	0.000426236	457.099	562.701	775.9542000000001
9	0.000426236	0.000635325	412.5547	490.616	591.3871999999999
10	0.000635325	0.000943893	365.3192000000001	429.785	476.9974000000001
11	0.000943893	0.00139927	337.4525000000001	401.02	398.9383
12	0.00139927	0.0020713	331.85720000000003	398.025	357.5592
13	0.0020713	0.00306307	355.5981	414.473	354.5892
14	0.00306307	0.00452669	434.3834000000001	469.69	415.8416000000001
15	0.00452669	0.00668667	567.4312	578.412	571.4245999999999
16	0.00668667	0.0098743	676.0744000000001	662.13	702.6548999999998
17	0.0098743	0.0145785	731.0853999999998	740.773	825.2955999999998
18	0.0145785	0.0215209	39165.880399999995	103405.0	106674.55610000002
19	0.0215209	inf	96743.0	103405.0	118433.0
