time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.32623e-05	51.8163
1	1.32623e-05	3.18985e-05	51.8163
2	3.18985e-05	5.80859e-05	195.875
3	5.80859e-05	9.48843e-05	302.39
4	9.48843e-05	0.000146593	489.153
5	0.000146593	0.000219254	818.724
6	0.000219254	0.000321357	943.83
7	0.000321357	0.000464831	760.099
8	0.000464831	0.00066644	564.985
9	0.00066644	0.00094974	458.958
10	0.00094974	0.00134783	404.135
11	0.00134783	0.00190723	366.1
12	0.00190723	0.00269329	348.678
13	0.00269329	0.00379785	376.555
14	0.00379785	0.00534998	478.338
15	0.00534998	0.00753102	623.008
16	0.00753102	0.0105958	754.338
17	0.0105958	0.0149024	877.422
18	0.0149024	0.0209541	1018.64
19	0.0209541	inf	1018.64
