time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.35025e-06	0.4683
1	6.35025e-06	1.57218e-05	0.4683
2	1.57218e-05	2.9552e-05	0.468263
3	2.9552e-05	4.99623e-05	26.2696
4	4.99623e-05	8.00833e-05	57.2329
5	8.00833e-05	0.000124535	137.673
6	0.000124535	0.000190136	314.389
7	0.000190136	0.000286947	535.759
8	0.000286947	0.000429819	573.958
9	0.000429819	0.000640666	492.707
10	0.000640666	0.000951828	426.926
11	0.000951828	0.00141103	396.863
12	0.00141103	0.00208871	394.275
13	0.00208871	0.00308882	410.909
14	0.00308882	0.00456475	464.569
15	0.00456475	0.00674288	570.109
16	0.00674288	0.00995731	694.831
17	0.00995731	0.0147011	828.959
18	0.0147011	0.0217018	102475
19	0.0217018	inf	102475
