time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	8.0363e-06	4.37599	0.371362	3.2488299999999994
1	8.0363e-06	1.98961e-05	4.37599	0.371362	3.2488299999999994
2	1.98961e-05	3.73984e-05	4.37599	0.370019	3.2488299999999994
3	3.73984e-05	6.32278e-05	27.886966999999995	1.46693	33.622886
4	6.32278e-05	0.000101346	55.21465	17.121	72.01002000000003
5	0.000101346	0.0001576	102.17652	54.1846	155.14155
6	0.0001576	0.000240619	201.05519999999999	133.623	247.3265
7	0.000240619	0.000363135	314.1045	203.75	287.172
8	0.000363135	0.000543941	342.23799999999994	240.005	298.311
9	0.000543941	0.000810769	325.1744	262.574	298.26919999999996
10	0.000810769	0.00120455	305.0318	286.75	301.3114
11	0.00120455	0.00178568	299.8548	320.068	315.01439999999997
12	0.00178568	0.00264329	314.0839	367.156	351.42269999999996
13	0.00264329	0.00390893	374.9159000000001	443.871	435.1191999999999
14	0.00390893	0.00577673	507.84589999999986	552.87	556.0644
15	0.00577673	0.00853318	624.1333999999998	641.469	662.5329999999999
16	0.00853318	0.0126011	687.1589999999999	714.226	709.2800000000001
17	0.0126011	0.0186044	758.2072000000001	788.93	725.0547
18	0.0186044	0.0274639	60553.3752	80710.9	71397.4594
19	0.0274639	inf	86165.7	80710.9	89065.1
