The split time is estimated to be around [3418.4006160018134, 9837.993447629995, 34831.08261218433] gens (i.e. 0.25,0.5,0.75 quantile)
Initial Chi-Square distance is 0.09655327978369903 and final Chi-Square distance is 1.049383632123102e-06
left_boundaries	IM_lambda00	IM_lambda01	IM_lambda11	IM_rCCR	MSMC_lambda00	MSMC_lambda01	MSMC_lambda11	MSMC_rCCR	msmc_N1	msmc_N2	naive_im_N1	naive_im_N2	im_N1	im_N2
0.0	8.025121781807707e-08	0.0	7.11317297435568e-08	0.0	1.2871743000000003e-07	3.9446156e-09	4.8505654e-08	0.044515821652217714	3884477.805375697	10308076.662568038	6230435.046275048	7029211.883397094	6493837.390167916	7326383.890175875
754.0148514851486	7.692610378678034e-08	3.1322548897830015e-09	6.81921573827311e-08	0.04316830789647128	1.2871743000000003e-07	3.9446156e-09	4.8505654e-08	0.044515821652217714	3884477.805375697	10308076.662568038	6230435.046275048	7029211.883397094	6862354.179623622	7742146.606010958
1866.772277227723	7.656225138688765e-08	3.132080685638882e-09	6.855918809905601e-08	0.0431649616587803	1.2871743000000003e-07	3.944019699999999e-09	4.8505654e-08	0.044509096794636514	3884477.805375697	10308076.662568038	6260050.244988346	6991518.189932311	6894973.086836545	7700629.846270696
3508.940594059406	6.038552935340854e-07	9.774100516662966e-08	5.335332481628865e-07	0.1718691574311116	6.416641099999999e-07	9.3043826e-08	5.044171491999999e-07	0.16236863704576668	779223.8839725665	991243.0629945762	705251.419336282	799803.9520867426	887678.5309791564	1006688.9307756955
5932.415841584159	1.003204724277797e-06	2.3631850450079493e-07	1.0674761872532532e-06	0.2282519756518761	9.97218652e-07	2.2251208999999998e-07	1.0914862949999998e-06	0.21306225210946464	501394.5527364644	458090.9556908363	405083.14270453784	379957.10932122846	534857.3680463082	501681.84759607154
9508.920792079209	1.788340805607757e-06	7.29845259666713e-07	1.817393733800303e-06	0.4048247322092264	1.8031711799999996e-06	7.1955632e-07	1.8319824399999996e-06	0.3958877094168032	277289.2588045912	272928.38025237847	197665.61364111007	194177.8759823777	294877.1983228967	289674.1977081334
14787.029702970298	3.214583545727499e-06	1.6477751829804511e-06	2.6755382994981678e-06	0.5595046168072336	3.31218996e-06	1.6808824e-06	2.6047071799999996e-06	0.5681634681923844	150957.52539507125	191960.15730259556	95682.80433128639	120177.39674358783	155326.7099319561	195090.0140817174
22576.336633663366	4.300481887222504e-06	2.3864697786165225e-06	3.210176308196162e-06	0.6354888523810645	4.48745424e-06	2.4539768e-06	3.0702222399999996e-06	0.6493998007175877	111421.74900484334	162854.66031931294	64644.3229557889	96852.44733141764	108995.84304041583	163301.4882781753
34071.485148514854	4.320180594556283e-06	2.7150995359470406e-06	3.3446267780222592e-06	0.7084586484614147	4.5523628999999995e-06	2.8212431e-06	3.17548545e-06	0.7301497059009964	109833.07152424076	157456.240273436	58584.96572117637	88161.33870424429	102305.72390502036	153954.33735507348
51035.841584158414	3.7857028433160566e-06	2.877026757858022e-06	3.2756442819635013e-06	0.8148662590338586	4.047431579999999e-06	3.0089213e-06	3.1044672999999996e-06	0.8414328419587499	123535.13335980842	161058.22728427517	61117.63367218866	82908.82409123317	111806.82668690813	151670.99851580206
76071.38613861386	3.3734293840174714e-06	3.055940130704851e-06	3.2276898740103926e-06	0.9258854479832067	3.6424700599999992e-06	3.2211929999999998e-06	3.0845399999999997e-06	0.9576893660836893	137269.48794741777	162098.72460723482	66176.47544781849	76688.5832353182	127093.62305149501	147282.39641212305
113017.82178217823	3.2864981389276523e-06	3.1515289351353045e-06	3.2348115556678487e-06	0.9665325165425334	3.4015648599999998e-06	3.48955e-06	3.1627786399999996e-06	1.0631832414010631	146991.17041090317	158088.83798456413	67376.56801355464	70002.84698846021	132327.0845849863	137485.07719728712
167542.57425742576	3.3959847255419267e-06	3.301059252619784e-06	3.3396960982912243e-06	0.9801709252432221	3.3923193200000007e-06	3.8540691e-06	3.3647543999999997e-06	1.1407509403345684	147391.78503985878	148599.25586247843	63991.602017259516	64272.90558516641	127145.3087474002	127704.23254155087
248009.90099009903	3.900988766921396e-06	3.7750897115163887e-06	3.8091682322718267e-06	0.979251061142181	3.972082549999999e-06	4.481673e-06	3.913677279999999e-06	1.1366496308828113	125878.55204570209	127757.08476402533	56803.81356560341	56952.88360611155	113496.739638919	113794.58871829422
366759.4059405941	5.235040394685031e-06	4.9309561520648125e-06	5.009730089511249e-06	0.9626289158300563	5.32477858e-06	5.600853999999999e-06	5.373101019999999e-06	1.0470960993055107	93900.61811734526	93056.1324156902	44650.797930688525	44652.204217724306	89299.6729437008	89302.48545720964
542007.9207920792	2.697186185336621e-05	1.5439948842225607e-05	1.7460853362791193e-05	0.6949811087219384	7.045214600000001e-06	7.0089556e-06	6.840854229999999e-06	1.0094945784594673	70970.1589501617	73090.28714678518	41431.50650066602	41356.23189963964	82863.00164006928	82712.45245865815
800635.6435643565	-1.0761708780583775e-06	-1.2298920837938247e-06	-1.1841056682080339e-06	1.088266907715691	7.856996040000001e-06	8.009017199999999e-06	7.883761039999998e-06	1.0176152467502535	63637.55275610396	63421.50624088425	27512.66084485188	27988.497671377398	55025.321305277525	55976.99495167984
1182306.9306930695	-5.4208979495176165e-08	-5.9478631371334715e-08	-5.795359287535715e-08	1.0605789456191286	6.55612816e-06	8.0560933e-06	7.869017060000001e-06	1.1169514312868734	76264.52500586871	63540.33752723875	8917.887928013473	8837.019264189872	17835.775855355696	17674.038527714583
1745574.257425743	-6.425505485071331e-17	-7.029880709512939e-17	-6.85533163472082e-17	1.0586502411111505	4.574719250000001e-06	7.4642737e-06	6.95300766e-06	1.2950122358511007	109296.32457773227	71911.32592539098	14036.022669358597	14036.022657896157	28072.045337660704	28072.045314735828
2576831.683168317	-8.928748627419729e-30	-9.768575491440146e-30	-9.52602596507137e-30	1.058650209189203	4.3923991e-06	7.4642737e-06	6.6555465e-06	1.3512509873328848	113833.0075698267	75125.31089670848	14036.022669358597	14036.022657896157	28072.045337660704	28072.045314735828
