time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.61555e-06	12.744300000000004	0.390556	4.8025400000000005
1	7.61555e-06	1.88544e-05	12.744300000000004	0.390556	4.8025400000000005
2	1.88544e-05	3.54403e-05	12.744300000000004	0.390497	4.8025400000000005
3	3.54403e-05	5.99174e-05	63.531099999999995	9.21226	49.942291999999995
4	5.99174e-05	9.60401e-05	98.73452000000002	22.0309	108.06794999999998
5	9.60401e-05	0.000149349	178.53179999999998	71.2432	181.38439999999997
6	0.000149349	0.000228021	327.9396	166.424	257.8918
7	0.000228021	0.000344122	444.3024	242.968	303.9824
8	0.000344122	0.000515462	450.729	279.331	314.4045
9	0.000515462	0.000768321	400.7357999999999	297.913	307.373
10	0.000768321	0.00114148	360.64059999999995	318.93	305.4
11	0.00114148	0.00169218	336.7886	345.5	313.14639999999997
12	0.00169218	0.0025049	335.8732000000001	381.591	333.144
13	0.0025049	0.00370427	393.27549999999997	443.73	387.49279999999993
14	0.00370427	0.00547428	527.2058000000001	554.54	531.9902
15	0.00547428	0.00808642	697.5460000000002	693.956	677.3122999999999
16	0.00808642	0.0119413	777.9204000000002	792.972	780.5704
17	0.0119413	0.0176303	649.1216000000001	797.633	779.1106000000001
18	0.0176303	0.026026	452.94250000000005	739.037	688.4166
19	0.026026	inf	434.891	739.037	658.965
