time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.62007e-05	28.2941
1	1.62007e-05	3.89658e-05	28.2941
2	3.89658e-05	7.09553e-05	75.6279
3	7.09553e-05	0.000115907	122.454
4	0.000115907	0.000179072	216.231
5	0.000179072	0.000267832	387.791
6	0.000267832	0.000392556	465.207
7	0.000392556	0.000567818	431.807
8	0.000567818	0.000814095	379.048
9	0.000814095	0.00116016	344.258
10	0.00116016	0.00164645	327.839
11	0.00164645	0.00232979	333.756
12	0.00232979	0.00329	368.469
13	0.00329	0.00463929	460.959
14	0.00463929	0.0065353	598.762
15	0.0065353	0.00919957	674.534
16	0.00919957	0.0129434	728.751
17	0.0129434	0.0182042	805.845
18	0.0182042	0.0255966	96833.3
19	0.0255966	inf	96833.3
