time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.76331e-05	0.7575
1	1.76331e-05	4.2411e-05	0.7575
2	4.2411e-05	7.72288e-05	51.6104
3	7.72288e-05	0.000126155	138.115
4	0.000126155	0.000194905	200.602
5	0.000194905	0.000291512	273.856
6	0.000291512	0.000427264	313.723
7	0.000427264	0.000618022	308.634
8	0.000618022	0.000886074	297.109
9	0.000886074	0.00126274	299.337
10	0.00126274	0.00179203	310.998
11	0.00179203	0.00253578	337.982
12	0.00253578	0.00358089	399.709
13	0.00358089	0.00504948	514.962
14	0.00504948	0.00711313	619.683
15	0.00711313	0.010013	665.01
16	0.010013	0.0140878	678.831
17	0.0140878	0.0198137	724.23
18	0.0198137	0.0278597	88934.1
19	0.0278597	inf	88934.1
