time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.57252e-06	0.392856
1	7.57252e-06	1.87478e-05	0.392856
2	1.87478e-05	3.52401e-05	0.618367
3	3.52401e-05	5.95789e-05	6.61769
4	5.95789e-05	9.54975e-05	27.2944
5	9.54975e-05	0.000148505	84.0542
6	0.000148505	0.000226732	160.976
7	0.000226732	0.000342178	239.5
8	0.000342178	0.00051255	279.966
9	0.00051255	0.00076398	294.943
10	0.00076398	0.00113503	311.371
11	0.00113503	0.00168262	338.247
12	0.00168262	0.00249074	379.593
13	0.00249074	0.00368335	451.224
14	0.00368335	0.00544336	554.694
15	0.00544336	0.00804073	649.636
16	0.00804073	0.0118739	724.718
17	0.0118739	0.0175307	819.768
18	0.0175307	0.0258789	85694.9
19	0.0258789	inf	85694.9
