The split time is estimated to be around [0.0, 0.0, 0.0] gens (i.e. 0.25,0.5,0.75 quantile)
Initial Chi-Square distance is 6.862963250042426e+192 and final Chi-Square distance is 8.179590392643172e-05
left_boundaries	IM_lambda00	IM_lambda01	IM_lambda11	IM_rCCR	MSMC_lambda00	MSMC_lambda01	MSMC_lambda11	MSMC_rCCR	msmc_N1	msmc_N2	naive_im_N1	naive_im_N2	im_N1	im_N2
0.0	7.340606563033006e-08	0.0	6.176306303482482e-08	0.0	1.7723682e-07	4.0114372e-09	7.190159700000001e-08	0.03220247803051586	2821084.241976357	6953948.4637594335	6811426.218072761	8095453.422024703	13397239.31574304	15922763.22050551
741.5297029702971	3.402288026644303e-08	3.375435883761116e-08	3.3637025518822077e-08	0.9977654696930467	1.7723682e-07	4.0114372e-09	7.190159700000001e-08	0.03220247803051586	2821084.241976357	6953948.4637594335	6811426.218072761	8095453.422024703	13621375.361758523	16189151.325231759
1835.861386138614	1.1123301548477706e-08	1.114722047664368e-08	1.1123227201203248e-08	1.0021536934658668	1.7723682e-07	4.010386799999999e-09	7.190159700000001e-08	0.03219404577014712	2821084.241976357	6953948.4637594335	1.0005548112539369	1.0005577822532759	2.0008926575603736	2.000898598914806
3450.841584158416	1.9508912570506595e-07	1.9550864139529201e-07	1.9508782146101644e-07	1.0021537295593834	7.283986679999999e-07	8.6153202e-08	4.242755581e-07	0.14948404336495644	686437.2794267659	1178479.3878749718	1.0340918790189086	1.034093997530694	2.067959729533157	2.0679639660977673
5834.188118811881	4.4059164321758125e-07	4.4153951858653344e-07	4.405886969236706e-07	1.0021547201467418	1.1376025920000002e-06	2.1269287000000002e-07	8.246634849999999e-07	0.21678290471715675	439520.798841499	606307.9172227446	1.0457117189363756	1.045715022929571	2.0911975953976634	2.09120420267049
9351.465346534655	1.3174191339941883e-06	1.3202578070914387e-06	1.317410308437068e-06	1.002158079631285	1.9229632399999997e-06	7.916824399999999e-07	1.60769376e-06	0.44846182452727634	260015.37086065154	311004.5037432999	1.0001604552677998	1.000002212057013	2.0003208976229407	2.00000441120341
14542.178217821782	4.7486966776799784e-08	4.758999411558778e-08	4.7486646493741064e-08	1.0021729715604988	3.30951245e-06	1.7746104e-06	2.6791179199999997e-06	0.5926598538757369	151079.65525254334	186628.59005474462	1.0002312073703392	1.0002974922968018	2.0004624101653867	2.0005949800180085
22202.475247524755	1.6474273414368673e-08	1.6510028902055836e-08	1.6474162252031085e-08	1.0021737644371673	4.649547119999998e-06	2.548533e-06	3.15359774e-06	0.6532066354590271	107537.35516503383	158549.07354163693	1.0003222625277075	1.000336919981751	2.0006445236575785	2.000673838565645
33507.32673267327	5.100791318954809e-09	5.111864038004952e-09	5.10075689607793e-09	1.0021741661667078	4.639738e-06	2.8620672999999996e-06	3.2422969499999996e-06	0.7262254781044836	107764.70567950174	154211.66158146004	1.0006863098966186	1.0006875273911744	2.0013726194407377	2.0013750544298494
50190.792079207924	1.3438442862345163e-09	1.3467617388432863e-09	1.3438352176525704e-09	1.002174356648936	4.110085919999999e-06	3.0407464e-06	3.1810051e-06	0.8340991469339799	121651.95806904206	157183.02369273157	1.0002956959566327	1.0002952235303966	2.0005913918120255	2.0005904469595537
74811.78217821782	2.8295886521509134e-10	2.8357318190870027e-10	2.82956955379656e-10	1.0021744280295255	3.6435305600000002e-06	3.2412010999999997e-06	3.12997889e-06	0.9570226848949032	137229.53376298837	159745.48633457397	1.05016543178354	1.0501656492055953	2.1003308635069926	2.100331298351103
111146.53465346535	1.0910590330800129e-11	1.0934277974784183e-11	1.0910516691640544e-11	1.0021744509606638	3.3807305799999996e-06	3.5255969e-06	3.2229503999999995e-06	1.0677671773296356	147897.0264468694	155137.35489072374	1.000004911165057	1.0000050374935983	2.000009822274765	2.0000100749318475
164769.30693069307	5.905527759709036e-41	5.918349071325471e-41	5.905487896964374e-41	1.002174451945885	3.4224880199999996e-06	3.9524027e-06	3.47689672e-06	1.1457261332551807	146092.54936121005	143806.3998633816	1.000164171718079	1.0001641202653322	2.0003283433808	2.0003282404753064
243902.9702970297	5.781280362409232e-41	5.79383192216706e-41	5.7812413416944e-41	1.0021744512895976	4.056476129999999e-06	4.6309611e-06	4.169854689999999e-06	1.1258873977548114	123259.6923971053	119908.25512435305	1.000163784350417	1.000163801672025	2.000327568645476	2.000327603288692
