time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.57886e-06	0.392441
1	7.57886e-06	1.87635e-05	0.392441
2	1.87635e-05	3.52696e-05	0.556784
3	3.52696e-05	5.96288e-05	10.8537
4	5.96288e-05	9.55774e-05	25.7576
5	9.55774e-05	0.000148629	66.1273
6	0.000148629	0.000226922	152.027
7	0.000226922	0.000342465	224.179
8	0.000342465	0.000512979	257.02
9	0.000512979	0.000764619	280.143
10	0.000764619	0.00113598	305.051
11	0.00113598	0.00168403	339.556
12	0.00168403	0.00249283	383.02
13	0.00249283	0.00368643	454.065
14	0.00368643	0.00544791	563.647
15	0.00544791	0.00804746	607.336
16	0.00804746	0.0118838	647.788
17	0.0118838	0.0175454	706.81
18	0.0175454	0.0259006	85738.9
19	0.0259006	inf	85738.9
