The split time is estimated to be around [0.0, 129.42053942421623, 714.9258683297519] gens (i.e. 0.25,0.5,0.75 quantile)
Initial Chi-Square distance is 0.6596192369000293 and final Chi-Square distance is 2.8713880401793634e-06
left_boundaries	IM_lambda00	IM_lambda01	IM_lambda11	IM_rCCR	MSMC_lambda00	MSMC_lambda01	MSMC_lambda11	MSMC_rCCR	msmc_N1	msmc_N2	naive_im_N1	naive_im_N2	im_N1	im_N2
0.0	5.15726869809262e-08	0.0	5.0000000000094296e-08	0.0	2.0870235999999997e-07	3.9404341999999995e-09	3.852554100000001e-09	0.037076858153899536	2395756.3297319687	129784030.8069911	9695054.286873234	9999999.99998114	14006830.90268458	14447398.11475107
754.6445544554456	3.3658930748706366e-08	1.7563767864310606e-08	3.27856762804384e-08	0.5286739932589734	2.0870235999999997e-07	3.9404341999999995e-09	3.852554100000001e-09	0.037076858153899536	2395756.3297319687	129784030.8069911	9695054.286873234	9999999.99998114	17130764.862608973	17669591.48003031
1868.3267326732675	3.35729380197649e-08	1.7538719190585023e-08	3.277806592686752e-08	0.5286647721168409	2.0870235999999997e-07	1.7248375999999997e-08	3.852554100000001e-09	0.1622957161261886	2395756.3297319687	129784030.8069911	9721654.581941929	9999999.999995388	17177766.49732027	17669591.480055485
3511.871287128713	3.2562141411875785e-07	1.6501135154333606e-07	2.9865169859983656e-07	0.5286511566219536	6.53424752e-07	6.4506478e-08	4.3190329322999997e-07	0.11887001037797737	765199.0508005733	1157666.5606338333	996335.2364941582	1103280.7835630071	1760483.6606044362	1949452.0733362841
5937.376237623763	9.84666508507997e-07	5.199132970429111e-07	9.829786849090842e-07	0.5284624471752568	1.0979871600000003e-06	3.8130631e-07	1.0875432549999999e-06	0.3489370885739881	455378.7313869862	459751.82844566496	330909.04849083064	331581.53187019867	584702.7703889544	585891.021048011
9516.871287128713	1.931111087868321e-06	9.787506323130965e-07	1.7792116517426368e-06	0.5275824778605229	2.02960106e-06	8.994454e-07	1.7959274599999997e-06	0.4702332738065693	246353.83270838458	278407.6813436552	166374.50075046293	183420.38718949686	293976.94609602203	324096.33107535064
14799.40594059406	3.367242825969623e-06	1.559563471456852e-06	2.5728539496046855e-06	0.5250969909681541	3.4412376599999996e-06	1.6992341e-06	2.4383722999999997e-06	0.5780091235847897	145296.56170274506	205054.82284227066	92402.42354064157	127982.25180754109	163271.30757309514	226139.41061378867
22595.148514851488	4.42908445457928e-06	1.9876504421309886e-06	3.2306018525418868e-06	0.5189900375640922	4.41121136e-06	2.4596631e-06	2.9869416799999993e-06	0.6649397725895112	113347.54995734323	167395.30046666332	67942.82051214634	100549.05810121789	120052.18824529136	177666.0780353703
34100.0	4.22657014641105e-06	2.6416854169865025e-06	3.292690294428237e-06	0.7026450108414232	4.455314019999999e-06	2.7628045e-06	3.1203041e-06	0.7293938147980458	112225.53511503105	160240.79191512134	60834.60756179599	90064.16057043315	112568.27964789327	166654.60696934213
51078.51485148515	3.729776866993036e-06	2.793810848459456e-06	3.216539594805706e-06	0.8044006816631563	3.993225889999999e-06	2.9335147e-06	3.04582165e-06	0.8334976240265598	125212.05005009123	164159.31641959402	62935.085255837956	84957.50794134352	119401.04174609322	161182.1913184336
76134.9504950495	3.285652193044475e-06	2.986044882619024e-06	3.155274936851548e-06	0.9272096461886934	3.5325598400000003e-06	3.1519676e-06	3.0252004799999995e-06	0.9612939315232552	141540.41902939143	165278.30248129542	69150.71203614636	78493.18020283591	135259.99165018197	153534.0213602156
113112.87128712871	3.225928666978298e-06	3.0842519957999657e-06	3.170003121272561e-06	0.9644418039184368	3.2986983799999995e-06	3.4322526999999997e-06	3.1122241000000002e-06	1.0707515839436572	151574.93726358822	160656.8113138125	69197.06381382725	71684.55502229431	137005.1473791723	141930.1988313168
167683.1683168317	3.417793305331573e-06	3.3076214022667953e-06	3.3543645448261893e-06	0.9768293874572761	3.3871258999999997e-06	3.8588665999999996e-06	3.39139012e-06	1.1385579346908439	147617.77824674308	147432.1686117314	63422.23000511309	63839.36045944305	126390.15974009024	127221.43269834116
248216.83168316833	4.023632519916105e-06	3.8689736168814815e-06	3.919019327666552e-06	0.9742271702514576	4.03610039e-06	4.5916923e-06	4.03853449e-06	1.1373126756166094	123881.95329303987	123807.28733110313	54308.65116193814	54480.36438549325	108565.49259553952	108908.75523052638
367066.3366336634	5.3716588400929555e-06	4.991181770813317e-06	5.110033398037637e-06	0.9523618242970838	5.296844e-06	5.5743314e-06	5.382142539999999e-06	1.0439813514363696	94395.83268829514	92899.80640312066	43105.19291739427	43096.53558792056	86209.5653971181	86192.25090294894
542461.3861386139	3.806942999077973e-05	1.6423434169011946e-05	2.019373741586684e-05	0.5637672958761383	6.716595950000001e-06	6.3979056e-06	6.2857582299999995e-06	0.9841149550965392	74442.47111514873	79544.89843622255	41742.28143769754	41663.737086185196	83484.55646396348	83327.46777300286
