time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.4881e-06	18.775800000000004	0.397316	7.593180000000002
1	7.4881e-06	1.85388e-05	18.775800000000004	0.397316	7.593180000000002
2	1.85388e-05	3.48472e-05	18.775800000000004	1.78163	7.593180000000002
3	3.48472e-05	5.89147e-05	86.27195999999999	5.71696	47.773194
4	5.89147e-05	9.44328e-05	122.3634	28.9395	94.3501
5	9.44328e-05	0.00014685	189.467	93.1274	175.97500000000002
6	0.00014685	0.000224205	326.6775	179.286	276.839
7	0.000224205	0.000338363	443.7582	257.533	315.58279999999996
8	0.000338363	0.000506836	444.7092000000001	280.304	321.26499999999993
9	0.000506836	0.000755463	396.17849999999993	295.904	315.4746
10	0.000755463	0.00112238	354.5101999999999	317.61	311.79480000000007
11	0.00112238	0.00166387	331.57720000000006	344.921	318.14829999999995
12	0.00166387	0.00246298	337.21109999999993	386.501	343.36279999999994
13	0.00246298	0.00364228	402.342	458.317	414.1137999999999
14	0.00364228	0.00538267	527.4264000000001	560.138	539.6188
15	0.00538267	0.00795109	674.6094999999999	653.425	646.1464
16	0.00795109	0.0117415	773.7319999999999	726.661	700.0379999999998
17	0.0117415	0.0173353	820.0957999999998	747.093	732.797
18	0.0173353	0.0255904	87556.37900000002	86723.5	757.6712999999997
19	0.0255904	inf	97192.7	86723.5	762.66
