time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.62988e-05	20.0409
1	1.62988e-05	3.92019e-05	20.0409
2	3.92019e-05	7.13851e-05	88.7225
3	7.13851e-05	0.000116609	123.113
4	0.000116609	0.000180157	234.164
5	0.000180157	0.000269454	388.999
6	0.000269454	0.000394934	460.2
7	0.000394934	0.000571257	430.662
8	0.000571257	0.000819026	379.022
9	0.000819026	0.00116719	343.752
10	0.00116719	0.00165643	326.587
11	0.00165643	0.0023439	330.76
12	0.0023439	0.00330993	369.374
13	0.00330993	0.00466739	463.337
14	0.00466739	0.00657489	596.031
15	0.00657489	0.0092553	685.289
16	0.0092553	0.0130218	719.916
17	0.0130218	0.0183144	731.365
18	0.0183144	0.0257516	96302.8
19	0.0257516	inf	96302.8
