time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.77853e-05	4.38262
1	1.77853e-05	4.27771e-05	4.38262
2	4.27771e-05	7.78954e-05	62.4144
3	7.78954e-05	0.000127243	111.123
4	0.000127243	0.000196587	190.708
5	0.000196587	0.000294028	268.013
6	0.000294028	0.000430952	300.674
7	0.000430952	0.000623356	295.94
8	0.000623356	0.000893721	293.89
9	0.000893721	0.00127364	299.956
10	0.00127364	0.00180749	313.708
11	0.00180749	0.00255766	341.664
12	0.00255766	0.0036118	400.653
13	0.0036118	0.00509306	510.652
14	0.00509306	0.00717452	637.719
15	0.00717452	0.0100994	734.151
16	0.0100994	0.0142094	740.205
17	0.0142094	0.0199847	625.06
18	0.0199847	0.0281002	514.919
19	0.0281002	inf	514.919
