time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.33822e-06	3.6908999999999996	0.405255	8.52448
1	7.33822e-06	1.81678e-05	3.6908999999999996	0.405255	8.52448
2	1.81678e-05	3.41497e-05	3.6908999999999996	0.405221	8.52448
3	3.41497e-05	5.77355e-05	59.80914	4.78947	49.012851999999995
4	5.77355e-05	9.25427e-05	112.57397999999999	33.1865	91.56825999999998
5	9.25427e-05	0.00014391	157.6374	83.1272	140.15499999999997
6	0.00014391	0.000219717	232.9121	160.771	224.54760000000002
7	0.000219717	0.000331591	298.3878	234.996	290.80660000000006
8	0.000331591	0.000496691	319.61000000000007	270.974	303.84900000000005
9	0.000496691	0.000740341	310.5225	289.345	300.05500000000006
10	0.000740341	0.00109991	303.3958	314.414	302.5772
11	0.00109991	0.00163056	309.6886999999999	345.046	311.3534
12	0.00163056	0.00241368	332.07559999999995	388.614	335.80400000000003
13	0.00241368	0.00356938	388.1315000000001	469.393	393.57589999999993
14	0.00356938	0.00527493	519.98	595.062	524.8068999999999
15	0.00527493	0.00779194	656.7280000000001	634.549	656.9315999999999
16	0.00779194	0.0115065	749.5368	660.597	713.4619999999999
17	0.0115065	0.0169883	830.5225000000002	710.28	768.1039999999998
18	0.0169883	0.0250782	53921.6084	88565.0	54029.2616
19	0.0250782	inf	89281.9	88565.0	89512.5
