label	Genus	Species	Route	Residency
Cacomantis_castaneiventris	Cacomantis	castaneiventris	S	I
Cacomantis_flabelliformis	Cacomantis	flabelliformis	S	I
Cacomantis_merulinus	Cacomantis	merulinus	II	I
Cuculus_pallidus	Cacomantis	pallidus	II	I
Cacomantis_sonneratii	Cacomantis	sonneratii	S	I
Cacomantis_variolosus	Cacomantis	variolosus	S	I
Cercococcyx_mechowi	Cercococcyx	mechowi	S	A
Cercococcyx_montanus	Cercococcyx	montanus	S	A
Cercococcyx_olivinus	Cercococcyx	olivinus	S	A
Chrysococcyx_basalis	Chrysococcyx	basalis	II	I
Chrysococcyx_caprius	Chrysococcyx	caprius	AA	A
Chrysococcyx_cupreus	Chrysococcyx	cupreus	AA	A
Chrysococcyx_flavigularis	Chrysococcyx	flavigularis	S	A
Chrysococcyx_klaas	Chrysococcyx	klaas	AA	A
Chrysococcyx_lucidus	Chrysococcyx	lucidus	II	I
Chrysococcyx_maculatus	Chrysococcyx	maculatus	II	I
Chrysococcyx_meyeri	Chrysococcyx	meyeri	S	I
Chrysococcyx_minutillus	Chrysococcyx	minutillus	II	I
Chrysococcyx_osculans	Chrysococcyx	osculans	II	I
Chrysococcyx_xanthorhynchus	Chrysococcyx	xanthorhynchus	II	I
Cuculus_canorus	Cuculus	canorus	APwe	A
Cuculus_clamosus	Cuculus	clamosus	AA	A
Cuculus_crassirostris	Cuculus	crassirostris	S	I
Cuculus_gularis	Cuculus	gularis	AA	A
Cuculus_micropterus	Cuculus	micropterus	II	I
Cuculus_poliocephalus	Cuculus	poliocephalus	APe	A
Cuculus_rochii	Cuculus	rochii	AA	A
Cuculus_saturatus	Cuculus	saturatus	II	I
Cuculus_solitarius	Cuculus	solitarius	AA	A
Cuculus_fugax	Hierococcyx	fugax	S	I
Cuculus_sparverioides	Hierococcyx	sparverioides	II	I
Cuculus_vagans	Hierococcyx	vagans	S	I
Cuculus_varius	Hierococcyx	varius	II	I
Microdynamis_parva	Microdynamis	parva	S	I
Surniculus_lugubris	Surniculus	lugubris	II	I
Surniculus_velutinus	Surniculus	velutinus	S	I
Cacomantis_heinrichi	Cacomantis	aeruginosus	S	I
Cacomantis_passerinus	Cacomantis	passerinus	II	I
Chrysococcyx_ruficollis	Chrysococcyx	ruficollis	S	I
Cuculus_lepidus	Cuculus	lepidus	S	I
Cuculus_optatus	Cuculus	optatus	II	I
