label	Genus	Species	Route	Residency
Cacomantis_castaneiventris	Cacomantis	castaneiventris	S	I
Cacomantis_flabelliformis	Cacomantis	flabelliformis	S	I
Cacomantis_merulinus	Cacomantis	merulinus	II	I
Cuculus_pallidus	Cacomantis	pallidus	II	I
Cacomantis_sonneratii	Cacomantis	sonneratii	S	I
Cacomantis_variolosus	Cacomantis	variolosus	S	I
Carpococcyx_renauldi	Carpococcyx	renauldi	S	I
Centropus_anselli	Centropus	anselli	S	A
Centropus_ateralbus	Centropus	ateralbus	S	I
Centropus_bengalensis	Centropus	bengalensis	S	I
Centropus_bernsteini	Centropus	bernsteini	S	I
Centropus_celebensis	Centropus	celebensis	S	I
Centropus_chalybeus	Centropus	chalybeus	S	I
Centropus_chlororhynchus	Centropus	chlororhynchus	S	I
Centropus_cupreicaudus	Centropus	cupreicaudus	S	A
Centropus_goliath	Centropus	goliath	S	I
Centropus_grillii	Centropus	grillii	S	A
Centropus_leucogaster	Centropus	leucogaster	S	A
Centropus_melanops	Centropus	melanops	S	I
Centropus_menbeki	Centropus	menbeki	S	I
Centropus_milo	Centropus	milo	S	I
Centropus_monachus	Centropus	monachus	S	A
Centropus_nigrorufus	Centropus	nigrorufus	S	I
Centropus_phasianinus	Centropus	phasianinus	S	I
Centropus_rectunguis	Centropus	rectunguis	S	I
Centropus_senegalensis	Centropus	senegalensis	S	A
Centropus_sinensis	Centropus	sinensis	S	I
Centropus_steerii	Centropus	steerii	S	I
Centropus_superciliosus	Centropus	superciliosus	S	A
Centropus_toulou	Centropus	toulou	S	A
Centropus_unirufus	Centropus	unirufus	S	I
Centropus_violaceus	Centropus	violaceus	S	I
Centropus_viridis	Centropus	viridis	S	I
Cercococcyx_mechowi	Cercococcyx	mechowi	S	A
Cercococcyx_montanus	Cercococcyx	montanus	S	A
Cercococcyx_olivinus	Cercococcyx	olivinus	S	A
Ceuthmochares_aereus	Ceuthmochares	aereus	S	A
Chrysococcyx_basalis	Chrysococcyx	basalis	II	I
Chrysococcyx_caprius	Chrysococcyx	caprius	AA	A
Chrysococcyx_cupreus	Chrysococcyx	cupreus	AA	A
Chrysococcyx_flavigularis	Chrysococcyx	flavigularis	S	A
Chrysococcyx_klaas	Chrysococcyx	klaas	AA	A
Chrysococcyx_lucidus	Chrysococcyx	lucidus	II	I
Chrysococcyx_maculatus	Chrysococcyx	maculatus	II	I
Rhamphomantis_megarhynchus	Chrysococcyx	megarhynchus	S	I
Chrysococcyx_meyeri	Chrysococcyx	meyeri	S	I
Chrysococcyx_minutillus	Chrysococcyx	minutillus	II	I
Chrysococcyx_osculans	Chrysococcyx	osculans	II	I
Chrysococcyx_xanthorhynchus	Chrysococcyx	xanthorhynchus	II	I
Clamator_coromandus	Clamator	coromandus	II	I
Clamator_glandarius	Clamator	glandarius	APw	A
Clamator_jacobinus	Clamator	jacobinus	APe	A
Clamator_levaillantii	Clamator	levaillantii	AA	A
Coccycua_cinerea	Coccycua	cinerea	SS	SA
Coccycua_minuta	Coccycua	minuta	S	SA
Coccycua_pumila	Coccycua	pumila	S	SA
Coccyzus_americanus	Coccyzus	americanus	NS	SA
Coccyzus_erythropthalmus	Coccyzus	erythropthalmus	NS	SA
Coccyzus_euleri	Coccyzus	euleri	S	SA
Coccyzus_ferrugineus	Coccyzus	ferrugineus	S	SA
Coccyzus_lansbergi	Coccyzus	lansbergi	S	SA
Coccyzus_longirostris	Coccyzus	longirostris	S	SA
Coccyzus_melacoryphus	Coccyzus	melacoryphus	S	SA
Coccyzus_merlini	Coccyzus	merlini	S	SA
Coccyzus_minor	Coccyzus	minor	S	SA
Coccyzus_pluvialis	Coccyzus	pluvialis	S	SA
Coccyzus_rufigularis	Coccyzus	rufigularis	S	SA
Coccyzus_vetula	Coccyzus	vetula	S	SA
