ID	Cluster
001_CB_ORW_CHN_F	CC_1
002_CB_ORW_CHN_M	CC_1
003_CB_ATP_CHN_M	CC_2
004_CB_ATP_CHN_F	CC_2
005_CB_ORW_CHN_M	CC_3
006_CB_ATP_CHN_F	CC_2
007_CB_ATP_CHN_F	CC_2
008_CC_RED_FIN_M	CC_4
009_CC_RED_FIN_M	CC_4
010_CC_RED_FIN_F	CC_4
013_CC_GRW_HUN_F	CC_4
014_CC_GRW_HUN_F	CC_4
015_CC_GRW_HUN_F	CC_4
016_CC_GRW_HUN_F	CC_4
017_CC_GRW_HUN_F	CC_4
018_CC_GRW_HUN_M	CC_4
019_CC_GRW_HUN_F	CC_4
020_CC_GRW_HUN_F	CC_4
021_CC_RED_FIN_F	CC_4
022_CC_RED_FIN_F	CC_4
023_CC_RED_FIN_F	CC_4
024_CC_RED_FIN_M	CC_4
025_CC_RED_FIN_F	CC_4
026_CC_RED_FIN_F	CC_4
027_CC_BRA_FIN_M	CC_5
028_CC_BRA_FIN_F	CC_5
029_CC_BRA_FIN_F	CC_5
030_CC_MPT_NOR_F	CC_6
031_CC_MPT_SWE_F	CC_5
032_CC_MPT_NOR_M	CC_6
033_CC_MPT_NOR_M	CC_6
034_CC_MPT_NOR_F	CC_6
035_CC_MPT_NOR_F	CC_6
036_CC_MPT_NOR_F	CC_6
037_CC_ERW_DNK_M	CC_7
038_CC_ERW_DNK_F	CC_7
039_CC_ERW_DNK_F	CC_7
040_CC_ERW_DNK_M	CC_7
042_CC_GRW_HUN_F	CC_4
043_CC_RED_FIN_F	CC_4
053_CC_RED_FIN_F	CC_4
054_CC_RED_FIN_F	CC_4
056_CC_COR_BGR_F	CC_4
057_CC_COR_BGR_F	CC_4
058_CC_COR_BGR_F	CC_4
059_CC_COR_BGR_M	CC_4
061_CC_GRW_BGR_F	CC_4
062_CC_GRW_BGR_F	CC_4
063_CC_GRW_BGR_F	CC_4
064_CC_GRW_BGR_M	CC_4
065_CC_GRW_BGR_M	CC_4
066_CC_GRW_BGR_F	CC_4
067_CC_GRW_BGR_M	CC_4
069_CC_GRW_BGR_F	CC_4
070_CC_GRW_BGR_F	CC_4
071_CC_GRW_BGR_F	CC_4
072_CC_MSH_BGR_F	CC_4
073_CC_MSH_BGR_M	CC_4
074_CC_MSH_BGR_F	CC_4
075_CC_MSH_BGR_F	CC_4
078_CC_MSH_BGR_M	CC_4
