IID1	IID2	PI_HAT
001_CB_ORW_CHN_F	165_CC_ORW_CHN_M	0.2113
002_CB_ORW_CHN_M	237_CC_ORW_CHN_F	0.1887
003_CB_ATP_CHN_M	004_CB_ATP_CHN_F	0.3262
005_CB_ORW_CHN_M	107_CB_ORW_CHN_M	0.7025
008_CC_RED_FIN_M	137_CC_UNK_ENG_M	0.1910
009_CC_RED_FIN_M	137_CC_UNK_ENG_M	0.1914
010_CC_RED_FIN_F	088_CC_RED_FIN_M	0.7054
010_CC_RED_FIN_F	091_CC_RED_FIN_M	0.3164
010_CC_RED_FIN_F	137_CC_UNK_ENG_M	0.1921
013_CC_GRW_HUN_F	137_CC_UNK_ENG_M	0.1937
014_CC_GRW_HUN_F	137_CC_UNK_ENG_M	0.2067
015_CC_GRW_HUN_F	137_CC_UNK_ENG_M	0.1903
016_CC_GRW_HUN_F	097_CC_GRW_HUN_F	0.2594
016_CC_GRW_HUN_F	137_CC_UNK_ENG_M	0.1898
018_CC_GRW_HUN_M	137_CC_UNK_ENG_M	0.1956
019_CC_GRW_HUN_F	137_CC_UNK_ENG_M	0.1955
019_CC_GRW_HUN_F	414_CC_GRW_HUN_F	0.4180
020_CC_GRW_HUN_F	096_CC_GRW_HUN_F	0.2906
020_CC_GRW_HUN_F	137_CC_UNK_ENG_M	0.1908
021_CC_RED_FIN_F	092_CC_RED_FIN_M	0.1893
021_CC_RED_FIN_F	093_CC_RED_FIN_M	0.4236
022_CC_RED_FIN_F	026_CC_RED_FIN_F	0.2510
022_CC_RED_FIN_F	093_CC_RED_FIN_M	0.5739
023_CC_RED_FIN_F	095_CC_RED_FIN_M	0.5612
023_CC_RED_FIN_F	137_CC_UNK_ENG_M	0.1928
024_CC_RED_FIN_M	137_CC_UNK_ENG_M	0.1867
025_CC_RED_FIN_F	090_CC_RED_FIN_M	0.4906
026_CC_RED_FIN_F	137_CC_UNK_ENG_M	0.1859
027_CC_BRA_FIN_M	084_CC_BRA_FIN_M	0.7388
027_CC_BRA_FIN_M	137_CC_UNK_ENG_M	0.1853
030_CC_MPT_NOR_F	137_CC_UNK_ENG_M	0.1910
032_CC_MPT_NOR_M	137_CC_UNK_ENG_M	0.2012
033_CC_MPT_NOR_M	137_CC_UNK_ENG_M	0.2026
034_CC_MPT_NOR_F	137_CC_UNK_ENG_M	0.1891
035_CC_MPT_NOR_F	137_CC_UNK_ENG_M	0.1953
036_CC_MPT_NOR_F	137_CC_UNK_ENG_M	0.1905
037_CC_ERW_DNK_M	040_CC_ERW_DNK_M	0.5847
038_CC_ERW_DNK_F	137_CC_UNK_ENG_M	0.2028
039_CC_ERW_DNK_F	137_CC_UNK_ENG_M	0.1990
040_CC_ERW_DNK_M	137_CC_UNK_ENG_M	0.1921
042_CC_GRW_HUN_F	137_CC_UNK_ENG_M	0.1863
043_CC_RED_FIN_F	094_CC_RED_FIN_M	0.2592
053_CC_RED_FIN_F	137_CC_UNK_ENG_M	0.1879
054_CC_RED_FIN_F	086_CC_RED_FIN_F	0.3501
054_CC_RED_FIN_F	087_CC_RED_FIN_M	0.3197
054_CC_RED_FIN_F	092_CC_RED_FIN_M	0.3596
056_CC_COR_BGR_F	137_CC_UNK_ENG_M	0.1926
057_CC_COR_BGR_F	137_CC_UNK_ENG_M	0.1881
058_CC_COR_BGR_F	137_CC_UNK_ENG_M	0.1944
059_CC_COR_BGR_M	137_CC_UNK_ENG_M	0.1854
067_CC_GRW_BGR_M	146_CC_GRW_BGR_M	0.4432
069_CC_GRW_BGR_F	137_CC_UNK_ENG_M	0.1934
070_CC_GRW_BGR_F	137_CC_UNK_ENG_M	0.1864
071_CC_GRW_BGR_F	072_CC_MSH_BGR_F	0.4212
071_CC_GRW_BGR_F	073_CC_MSH_BGR_M	0.4249
071_CC_GRW_BGR_F	075_CC_MSH_BGR_F	0.6873
071_CC_GRW_BGR_F	079_CC_MSH_BGR_F	0.4919
072_CC_MSH_BGR_F	073_CC_MSH_BGR_M	0.5362
072_CC_MSH_BGR_F	075_CC_MSH_BGR_F	0.4261
072_CC_MSH_BGR_F	079_CC_MSH_BGR_F	0.3256
073_CC_MSH_BGR_M	075_CC_MSH_BGR_F	0.4264
073_CC_MSH_BGR_M	079_CC_MSH_BGR_F	0.3238
075_CC_MSH_BGR_F	079_CC_MSH_BGR_F	0.4107
075_CC_MSH_BGR_F	080_CC_MSH_BGR_M	0.3746
075_CC_MSH_BGR_F	137_CC_UNK_ENG_M	0.1910
078_CC_MSH_BGR_M	137_CC_UNK_ENG_M	0.1867
079_CC_MSH_BGR_F	148_CC_MSH_BGR_M	0.5464
080_CC_MSH_BGR_M	148_CC_MSH_BGR_M	0.5388
083_CC_ERW_DEU_M	137_CC_UNK_ENG_M	0.1908
087_CC_RED_FIN_M	092_CC_RED_FIN_M	0.4936
088_CC_RED_FIN_M	091_CC_RED_FIN_M	0.5482
088_CC_RED_FIN_M	137_CC_UNK_ENG_M	0.1898
089_CC_RED_FIN_F	137_CC_UNK_ENG_M	0.1889
094_CC_RED_FIN_M	137_CC_UNK_ENG_M	0.1895
